OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B17020_001E,B17020_001M,B17020_002E,B17020_002M,B17020_003E,B17020_003M,B17020_004E,B17020_004M,B17020_005E,B17020_005M,B17020_006E,B17020_006M,B17020_007E,B17020_007M,B17020_008E,B17020_008M,B17020_009E,B17020_009M,B17020_010E,B17020_010M,B17020_011E,B17020_011M,B17020_012E,B17020_012M,B17020_013E,B17020_013M,B17020_014E,B17020_014M,B17020_015E,B17020_015M,B17020_016E,B17020_016M,B17020_017E,B17020_017M,B17020_calc_pctPovE,B17020_calc_pctPovM,B17020_calc_numChildPovE,B17020_calc_numChildPovM,B17020_calc_pctChildPovE,B17020_calc_pctChildPovM,Shape__Area,Shape__Length,B17020_calc_numTotChildE,B17020_calc_numTotChildM,Shape__Area_2,Shape__Length_2
95,11001007403,330203,0,Census Tract 74.03,District of Columbia,District of Columbia,3187,373,1269,429,108,92,274,153,123,99,691,239,58,54,15,22,0,12,1918,419,130,114,132,100,247,108,1241,284,168,63,0,12,0,12,39.8,12.6285047087422,505,204,49.8,14.8535452013599,545192.16796875,4102.46778650382,1014,276,545192.16796875,4102.46778650382
96,11001007404,813212,0,Census Tract 74.04,District of Columbia,District of Columbia,4307,596,1312,508,212,148,295,188,204,128,489,207,104,63,8,15,0,12,2995,701,328,195,291,237,293,136,1805,400,265,101,7,11,6,10,30.5,11.0157743895303,711,271,43.8,11.9627357611468,1342748.7265625,6448.92063716058,1623,432,1342748.7265625,6448.92063716058
97,11001007406,360152,0,Census Tract 74.06,District of Columbia,District of Columbia,3246,551,1573,520,363,188,210,126,180,118,772,281,40,43,8,12,0,12,1673,355,238,133,135,93,231,139,930,226,110,65,17,26,12,15,48.5,13.7464879300703,753,255,55.5,12.9527979458479,594754.12109375,3303.18825383339,1357,333,594754.12109375,3303.18825383339
98,11001007407,604673,0,Census Tract 74.07,District of Columbia,District of Columbia,3271,328,780,298,153,107,76,80,98,77,358,147,67,52,28,31,0,12,2491,350,230,137,163,75,224,116,1515,243,287,106,62,36,10,15,23.8,8.79096787361161,327,154,34.6,13.5403329494436,998609.296875,6011.0336876586,944,248,998609.296875,6011.0336876586
99,11001007408,376318,58,Census Tract 74.08,District of Columbia,District of Columbia,2994,397,1574,370,319,136,344,168,264,143,571,130,66,42,10,14,0,12,1420,340,163,117,76,66,37,40,828,254,166,65,150,69,0,12,52.6,10.204279229011,927,259,77.1,10.3407608476068,621494.88671875,5008.03700949006,1203,295,621494.88671875,5008.03700949006
100,11001007409,397785,0,Census Tract 74.09,District of Columbia,District of Columbia,4000,442,1163,421,131,95,304,212,129,91,482,218,101,73,16,17,0,12,2837,427,317,140,286,132,195,134,1716,306,256,100,50,33,17,26,29.1,10.0226554106107,564,249,41.4,15.0304727117311,656714.90625,3911.42467959881,1362,342,656714.90625,3911.42467959881
101,11001007502,615798,0,Census Tract 75.02,District of Columbia,District of Columbia,5072,552,2189,438,246,117,189,108,566,174,874,225,277,134,37,31,0,17,2883,509,256,160,209,117,322,217,1645,282,329,144,97,48,25,29,43.2,7.24651616410287,1001,236,56,5.90901728237508,1016957.48828125,6162.03205452721,1788,377,1016957.48828125,6162.03205452721
102,11001007503,499811,0,Census Tract 75.03,District of Columbia,District of Columbia,2454,230,1019,236,215,82,176,113,68,46,481,100,67,38,12,12,0,12,1435,278,161,80,104,54,62,52,810,191,221,75,57,36,20,19,41.5,8.79428736338762,459,147,58.4,12.8111601472081,825579.1796875,3675.00532452202,786,183,825579.1796875,3675.00532452202
103,11001007504,796618,0,Census Tract 75.04,District of Columbia,District of Columbia,2863,429,1287,445,290,217,195,132,67,78,633,207,100,63,2,4,0,12,1576,446,186,154,79,68,106,66,1004,292,180,82,21,35,0,12,45,14.0077573326249,552,266,59.8,19.9238068693875,1315733.96875,5657.10328580935,923,321,1315733.96875,5657.10328580935
104,11001007601,1107288,141529,Census Tract 76.01,District of Columbia,District of Columbia,4819,498,960,295,81,90,89,69,61,68,521,183,174,107,34,32,0,12,3859,572,361,225,260,133,99,100,2518,400,489,120,100,61,32,28,19.9,5.76505759095491,231,132,24.3,11.4065787164299,1829202.49609375,5863.43061052639,951,310,1829202.49609375,5863.43061052639
105,11001007603,1226618,0,Census Tract 76.03,District of Columbia,District of Columbia,4283,497,1369,610,165,188,97,101,258,177,642,331,59,55,148,139,0,12,2914,535,203,137,109,94,103,103,1654,381,583,186,179,92,83,61,32,13.7509097037939,520,277,55.6,21.695986859997,2025836.4765625,6408.88503016039,935,339,2025836.4765625,6408.88503016039
106,11001007604,1369578,0,Census Tract 76.04,District of Columbia,District of Columbia,4247,425,1057,380,223,183,192,130,0,12,505,171,112,63,16,16,9,14,3190,556,196,126,149,85,75,64,2121,350,532,239,70,53,47,51,24.9,8.59387351669746,415,225,49.7,21.2300541341057,2262378.19140625,6977.42442557167,835,279,2262378.19140625,6977.42442557167
107,11001007605,453791,0,Census Tract 76.05,District of Columbia,District of Columbia,3949,427,1352,329,141,105,94,68,137,97,770,211,202,105,8,12,0,12,2597,506,221,171,92,65,61,70,1652,338,396,86,138,65,37,33,34.2,7.46356886457275,372,158,49.9,12.8374290590335,749611.671875,4717.729053629,746,252,749611.671875,4717.729053629
108,11001007703,1017266,1059,Census Tract 77.03,District of Columbia,District of Columbia,6159,1014,2054,727,236,188,262,177,235,187,940,305,323,174,40,47,18,30,4105,992,262,196,621,362,472,188,2057,509,500,188,103,76,90,90,33.3,10.4491519186173,733,319,35.1,12.1166259985997,1683099.484375,5871.38645190815,2088,554,1683099.484375,5871.38645190815
109,11001007707,842852,0,Census Tract 77.07,District of Columbia,District of Columbia,4366,524,1176,507,168,192,116,107,198,162,534,229,111,62,44,29,5,8,3190,633,212,122,337,215,183,74,1703,359,425,134,206,74,124,72,26.9,11.1534120191623,482,273,39.7,18.8349590409802,1392751.64453125,5677.29779547374,1214,376,1392751.64453125,5677.29779547374
110,11001007708,737121,124915,Census Tract 77.08,District of Columbia,District of Columbia,3039,350,1138,467,176,150,133,124,102,93,560,224,150,124,0,12,17,24,1901,409,158,110,115,83,138,94,1107,264,322,112,61,51,0,12,37.4,14.7493108866739,411,216,50,20.3815770284106,1218330.43359375,5308.42982853543,822,273,1218330.43359375,5308.42982853543
111,11001007709,838021,86864,Census Tract 77.09,District of Columbia,District of Columbia,2515,311,667,173,10,15,59,34,49,45,421,131,119,56,6,9,3,6,1848,316,93,67,68,59,158,91,1120,209,266,71,81,48,62,39,26.5,6.04662256114719,118,58,27,10.0556518452175,1384727.4140625,5685.48578710832,437,140,1384727.4140625,5685.48578710832
112,11001007803,1007761,1639,Census Tract 78.03,District of Columbia,District of Columbia,4070,425,949,354,202,192,48,46,158,110,462,156,69,44,0,12,10,15,3121,497,284,150,129,70,117,89,1878,296,485,119,170,90,58,55,23.3,8.35004158337781,408,226,43.5,19.8668659672869,1668806.04296875,5760.93449280592,938,294,1668806.04296875,5760.93449280592
113,11001007804,839831,4303,Census Tract 78.04,District of Columbia,District of Columbia,3688,630,1047,331,214,172,113,103,145,109,451,150,64,58,36,57,24,26,2641,531,179,104,144,84,98,68,1563,338,406,97,227,249,24,27,28.4,7.55202183487207,472,228,52.9,19.7534161600891,1395555.5859375,5875.60742041071,893,273,1395555.5859375,5875.60742041071
114,11001007806,688867,0,Census Tract 78.06,District of Columbia,District of Columbia,2146,333,481,221,96,96,29,47,39,37,254,109,57,32,6,10,0,12,1665,326,154,95,59,48,64,47,947,184,305,88,104,63,32,24,22.4,9.69314321706161,164,113,37.2,21.6610533825657,1139183.7421875,5301.52952813856,441,162,1139183.7421875,5301.52952813856
115,11001007807,522749,0,Census Tract 78.07,District of Columbia,District of Columbia,2171,213,438,161,55,38,45,55,51,44,235,92,33,26,19,24,0,12,1733,232,89,51,96,65,127,75,1089,151,213,64,74,31,45,32,20.2,7.14689397342864,151,80,32.6,14.3202566647203,864306.03125,4191.77763402498,463,137,864306.03125,4191.77763402498
116,11001007808,937763,6812,Census Tract 78.08,District of Columbia,District of Columbia,3949,529,1048,377,83,87,78,95,122,125,557,238,118,60,46,44,44,54,2901,498,493,279,98,74,205,111,1666,255,241,74,162,85,36,32,26.5,8.86011690254558,283,179,26.2,14.1359283431473,1561490.7421875,5367.09317473079,1079,358,1561490.7421875,5367.09317473079
117,11001007809,535254,0,Census Tract 78.09,District of Columbia,District of Columbia,3493,372,1044,482,120,124,139,101,230,157,521,208,34,30,0,12,0,12,2449,384,119,89,109,80,149,69,1564,323,329,92,129,58,50,43,29.9,13.4268833886489,489,224,56.5,19.3400446273995,885054.09375,4983.87072214171,866,263,885054.09375,4983.87072214171
118,11001007901,401370,0,Census Tract 79.01,District of Columbia,District of Columbia,4061,453,937,321,115,80,122,120,72,52,416,157,190,81,15,23,7,12,3124,400,326,135,117,89,176,89,2065,255,339,134,70,49,31,31,23.1,7.47369289528303,309,153,33.3,14.060336148175,663577.83984375,3326.26824201875,928,240,663577.83984375,3326.26824201875
119,11001007903,247945,0,Census Tract 79.03,District of Columbia,District of Columbia,1971,292,321,227,47,64,16,39,26,30,167,106,34,33,28,23,3,5,1650,226,192,85,12,11,69,41,1058,148,253,62,47,28,19,17,16.3,11.2614289802785,89,81,24.6,20.7096470168884,409923.48828125,2801.78521280546,362,125,409923.48828125,2801.78521280546
120,11001008001,322795,0,Census Tract 80.01,District of Columbia,District of Columbia,3074,328,111,67,0,12,0,12,0,12,78,53,24,34,9,14,0,12,2963,350,454,147,159,93,13,18,2042,266,170,71,67,46,58,56,3.6,2.1452455926298,0,21,0,3.35463258785942,533673.01171875,3036.13380054872,626,176,533673.01171875,3036.13380054872
121,11001008002,579629,0,Census Tract 80.02,District of Columbia,District of Columbia,3460,268,252,172,24,35,0,12,18,25,162,117,48,45,0,12,0,12,3208,304,393,102,104,55,80,52,2089,212,407,115,112,67,23,26,7.3,4.93898466648973,42,45,6.8,7.11774359431616,958159.328125,4988.06083178915,619,135,958159.328125,4988.06083178915
