,Census,Number of Crimes,Total Population,Percentage of Population in Poverty,Percentage of Children in Poverty,Latitude,Longitude
50,5301,221,4898.0,10.29999999999999,0.0,38.910822369042776,-77.03844625836652
51,6202,186,72.0,0.0,25.055524296675706,38.89512591716408,-77.01926085161452
52,6801,117,2302.0,10.900000000000006,0.0,38.888297153632664,-76.9804877433265
53,6802,58,2509.0,7.5,5.800000000000005,38.88368069585555,-76.98136893055806
54,6804,45,247.0,47.0,0.0,38.88559809499429,-76.97632452551206
55,7301,2,3948.0,4.4,5.3,38.8643240413129,-77.0027192935384
56,7304,235,3419.0,33.89999999999986,49.39999999999979,38.84399875491478,-76.98590098020186
57,7401,143,2262.0,64.60000000000018,69.0,38.86044348475845,-76.99567356079436
58,7403,101,3187.0,39.800000000000075,49.80000000000009,38.84877913038406,-76.97527137688803
59,7404,124,4307.0,30.5,43.800000000000104,38.85038334465235,-76.98145306988353
60,7406,173,3246.0,48.5,55.5,38.85536248717824,-76.98934537747193
61,7407,112,3271.0,23.800000000000015,34.59999999999994,38.85872877744509,-76.98721681341321
62,7408,95,2994.0,52.600000000000016,77.10000000000012,38.8533194814031,-76.9703677131771
63,7409,136,4000.0,29.099999999999937,41.39999999999994,38.84549573509193,-76.97506006319882
64,7502,204,5072.0,43.19999999999993,56.0,38.856575862777106,-76.96805719977438
65,7503,229,2454.0,41.5,58.39999999999977,38.86490217433831,-76.9865377689191
66,7504,151,2863.0,45.0,59.80000000000005,38.86302569915121,-76.97808176211853
67,7601,322,4819.0,19.89999999999991,24.300000000000125,38.87131117109489,-76.97687974507866
68,7603,291,4283.0,32.0,55.60000000000026,38.860482190248185,-76.95886745120387
69,7604,214,4247.0,24.899999999999963,49.700000000000074,38.86767859417011,-76.96472230554126
70,7605,106,3949.0,34.19999999999994,49.89999999999997,38.86632668587981,-76.9756690102192
71,7703,189,6159.0,33.30000000000011,35.1000000000001,38.886622693470834,-76.94840077621676
72,7707,195,4366.0,26.899999999999974,39.699999999999875,38.87815744371867,-76.93330829654276
73,7708,98,3039.0,37.400000000000055,50.0,38.8865672353483,-76.95720067419242
74,7709,81,2515.0,26.5,27.0,38.8759875266404,-76.96595158133555
75,7803,312,4070.0,23.30000000000012,43.5,38.89659360348518,-76.94161511100369
76,7804,252,3688.0,28.39999999999988,52.899999999999764,38.89552212456985,-76.93047257934022
77,7806,146,2146.0,22.400000000000055,37.199999999999896,38.90540066835479,-76.93184252583657
78,7807,237,2171.0,20.19999999999991,32.600000000000136,38.90042939919163,-76.92144661737535
79,7808,222,3949.0,26.5,26.199999999999896,38.893352163692775,-76.919014172721
80,7809,147,3493.0,29.90000000000003,56.5,38.901758231099464,-76.93175712306878
81,7901,282,4061.0,23.100000000000097,33.30000000000002,38.89806184541322,-76.98011317855642
82,7903,138,1971.0,16.299999999999986,24.59999999999994,38.89743710604136,-76.97397528250957
83,8001,134,3074.0,3.6000000000000085,0.0,38.89666873147805,-76.98614254137995
84,8002,103,3460.0,7.299999999999991,6.799999999999993,38.89214045244253,-76.98314069026264
85,8301,139,2350.0,3.3999999999999915,0.0,38.89827998407873,-77.00078539383958
86,8302,259,2404.0,3.5,0.0,38.898681762717956,-76.99648050778562
